Título,Links
"'Se Uber quer guerra, vai ter', diz prefeito de SP ",https://cbn.globoradio.globo.com/media/audio/398854/se-uber-quer-guerra-com-cidade-de-sao-paulo-vao-te.htm
Levantamento mostra as melhores operadoras de celular do Brasil,https://www.techtudo.com.br/noticias/2023/01/levantamento-mostra-melhores-operadoras-de-celular-do-brasil.ghtml
Jogos clássicos ficam de graça em fevereiro; confira lista,https://www.techtudo.com.br/noticias/2023/01/prime-gaming-tem-the-elder-scrolls-e-mais-jogos-gratis-em-fevereiro.ghtml
Confira 8 fones de ouvido sem fio baratos para comprar em 2023,https://www.techtudo.com.br/listas/2023/01/8-fones-de-ouvido-sem-fio-baratos-para-comprar-em-2023.ghtml
Proibido no WhatsApp: 5 coisas que você não pode fazer no app,https://www.techtudo.com.br/stories/2023/01/27/proibido-no-whatsapp-5-coisas-que-voce-nao-pode-fazer-no-app-em-2023.ghtml
Vinho branco: confira a diferença para o tinto e saiba harmonizar,https://receitas.globo.com/series-originais/que-vinho-foi-esse/vinho-branco-veja-diferenca-para-o-tinto-e-saiba-harmonizar.ghtml
"Aprenda a fazer gema curada, técnica milenar asiática para incrementar pratos",https://receitas.globo.com/tipos-de-prato/acompanhamentos/gema-curada.ghtml
Acabou o ovo? Prepare um delicioso bolo de chocolate sem o ingrediente,https://receitas.globo.com/bolo-de-chocolate-sem-ovo-4d99fb07e463b93c350003a1.ghtml
Musculação na piscina tem mais efeito? Entenda as vantagens,https://ge.globo.com/eu-atleta/treinos/reportagem/2023/01/27/musculacao-na-piscina-tem-mais-efeito.ghtml
"Saiba tudo sobre a massoterapia, método usado por Bruna Griphao",https://gshow.globo.com/moda-e-beleza/noticia/massoterapia-ou-drenagem-linfatica-saiba-tudo-sobre-metodo-usado-por-bruna-griphao.ghtml
"As maiores tendências de bem-estar e autocuidado para 2023, segundo experts",https://glamour.globo.com/beleza/corpo/noticia/2023/01/maiores-tendencias-de-bem-estar-e-autocuidado-2023.ghtml
Guerra e Cidália vão sofrer acidente e Brisa será prejudicada; entenda ,https://gshow.globo.com/novelas/travessia/noticia/gshow-em-travessia-guerra-e-cidalia-vao-sofrer-acidente-e-brisa-sera-prejudicada-entenda.ghtml
Theo vai atrás de Sol e a segura com força: 'Vem comigo',https://gshow.globo.com/novelas/vai-na-fe/vem-por-ai/noticia/theo-vai-atras-de-sol-e-a-segura-com-forca-em-vai-na-fe-vem-comigo.ghtml
Tertulinho fica pasmo ao receber convite de casamento de Candoca,https://gshow.globo.com/novelas/mar-do-sertao/vem-por-ai/noticia/mar-do-sertao-tertulinho-fica-pasmo-ao-receber-convite-de-casamento-de-candoca.ghtml
Carol Dieckmann: relembre 5 grandes sucessos em 30 anos de carreira,https://gshow.globo.com/novelas/mundo-de-novela/noticia/carolina-dieckmann-5-grandes-sucessos-em-30-anos-de-carreira.ghtml
"Exclusivo para assinantes: revelações de Nicácio, discussão de Cezar e Domitila e mais no Click ",https://globoplay.globo.com/v/11315799/programa/?origemld=1020&utm_source=gcom&utm_medium=home&utm_campaign=gcom-edit&utm_term=clickbbb
"Assinante vê na íntegra o programa desta quinta-feira, com Cara de Sapato como novo Líder",https://globoplay.globo.com/v/11315671/?origemld=1020&utm_source=gcom&utm_medium=home&utm_campaign=gcom-edit&utm_term=integrabbb23
"A partir de R$ 19,90; assine já",https://vitrine.globo.com/assine/bbb?origemId=2563&utm_source=gcom&utm_medium=home-franja-vitrine&utm_campaign=aq-org_gcom_vitrine_low_perf_banner_web_tier1_reality_bbb23&utm_content=banner&utm_term=card3-vendas
Moraes decide liberar contas de Nikolas Ferreira e coloca condições,https://oglobo.globo.com/politica/noticia/2023/01/moraes-decide-libera-contas-de-nikolas-ferreira.ghtml
Blog: os cuidados do governo com o general demitido do Comando do Exército,https://oglobo.globo.com/blogs/malu-gaspar/post/2023/01/os-cuidados-do-governo-lula-com-general-demitido-do-comando-do-exercito.ghtml
Casal denuncia racismo de turistas em restaurante de Balneário Camboriú,https://g1.globo.com/sc/santa-catarina/noticia/2023/01/26/casal-denuncia-racismo-de-turistas-e-funcionarios-de-restaurante-em-balneario-camboriu.ghtml
"Em ida ao Ceará, Bolsonaro gastou R$ 7 mil em padaria no cartão corporativo",https://oglobo.globo.com/politica/noticia/2023/01/cartao-corporativo-gasto-de-r-7-mil-em-lanche-coincide-com-ida-de-bolsonaro-a-evento-com-aglomeracao-na-pandemia.ghtml
